14,B2,FALSE,CRII2020_Mote_AcML58,A,UNKNOWN,SYBR,None,21.173496246337891,21.103464126586914,0.099040374159812927,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.52135008362076607,4.4691658020019531,3.9545731544494629,87.56024169921875,,,,Y,N,N,N,N
15,B3,FALSE,CRII2020_Mote_AcML58,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.058879017829895,-0.0068429149687290192,77.24383544921875,,,,Y,Y,N,N,Y
16,B4,FALSE,CRII2020_Mote_AcML58,Acer,UNKNOWN,SYBR,None,18.334817886352539,18.784811019897461,0.63638639450073242,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.33662323029359464,3.908477783203125,3.4244551658630371,75.180557250976562,,,,Y,N,Y,N,N
17,B5,FALSE,CRII2020_Mote_AcML58,A,UNKNOWN,SYBR,None,21.033432006835938,21.103464126586914,0.099040374159812927,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.49212613961246471,4.2434635162353516,3.6890649795532227,87.56024169921875,,,,Y,N,N,N,N
18,B6,FALSE,CRII2020_Mote_AcML58,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0549718141555786,-0.0059033837169408798,76.801704406738281,,,,Y,Y,N,N,Y
19,B7,FALSE,CRII2020_Mote_AcML62,Acer,UNKNOWN,SYBR,None,18.640073776245117,18.501266479492188,0.19630181789398193,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.48353728079236524,3.9184105396270752,3.4253427982330322,75.033172607421875,,,,Y,N,N,N,N
20,B8,FALSE,CRII2020_Mote_AcML62,A,UNKNOWN,SYBR,None,19.855186462402344,19.932701110839844,0.10962226986885071,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.36718335262752305,4.4398422241210938,3.994985818862915,87.56024169921875,,,,Y,N,N,N,N
21,B9,FALSE,CRII2020_Mote_AcML62,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.1023445129394531,-0.0061745727434754372,77.24383544921875,,,,Y,Y,N,N,Y
22,B10,FALSE,CRII2020_Mote_AcML62,Acer,UNKNOWN,SYBR,None,18.362461090087891,18.501266479492188,0.19630181789398193,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.34353604794037235,3.9965577125549316,3.409977912902832,75.180557250976562,,,,Y,N,N,N,N
23,B11,FALSE,CRII2020_Mote_AcML62,A,UNKNOWN,SYBR,None,20.010215759277344,19.932701110839844,0.10962226986885071,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.34545450016098628,4.5196723937988281,4.0973725318908691,87.56024169921875,,,,Y,N,N,N,N
24,B12,FALSE,CRII2020_Mote_AcML62,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.1142377853393555,-0.0059957173652946949,74.148910522460938,,,,Y,Y,N,N,Y
25,C1,FALSE,CRII2020_Mote_AcML63,Acer,UNKNOWN,SYBR,None,18.585464477539062,18.506546020507812,0.11160890012979507,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.54716677042809814,4.1568145751953125,3.4976141452789307,75.033172607421875,,,,Y,N,N,N,N
26,C2,FALSE,CRII2020_Mote_AcML63,A,UNKNOWN,SYBR,None,20.172468185424805,20.340923309326172,0.23823152482509613,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.48880564411098781,4.5167503356933594,3.9735927581787109,87.412857055664062,,,,Y,N,N,N,N
27,C3,FALSE,CRII2020_Mote_AcML63,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.1064233779907227,-0.0071680042892694473,75.180557250976562,,,,Y,Y,N,N,N
28,C4,FALSE,CRII2020_Mote_AcML63,Acer,UNKNOWN,SYBR,None,18.42762565612793,18.506546020507812,0.11160890012979507,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.47963246962495021,3.9705684185028076,3.4582693576812744,75.180557250976562,,,,Y,N,N,N,N
29,C5,FALSE,CRII2020_Mote_AcML63,A,UNKNOWN,SYBR,None,20.509378433227539,20.340923309326172,0.23823152482509613,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.5099690865117541,4.3831019401550293,3.7669296264648438,87.56024169921875,,,,Y,N,N,N,N
30,C6,FALSE,CRII2020_Mote_AcML63,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0367138385772705,-0.0035113338381052017,74.591041564941406,,,,Y,Y,N,N,N
31,C7,FALSE,CRII2020_Mote_AcML70,Acer,UNKNOWN,SYBR,None,19.268280029296875,19.473445892333984,0.29014700651168823,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.52445017685228112,3.7299034595489502,3.2432208061218262,75.033172607421875,,,,Y,N,N,N,N
32,C8,FALSE,CRII2020_Mote_AcML70,A,UNKNOWN,SYBR,None,21.252607345581055,21.0762939453125,0.24934615194797516,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.35193685021634502,4.3807053565979004,3.9432239532470703,87.56024169921875,,,,Y,N,N,N,N
33,C9,FALSE,CRII2020_Mote_AcML70,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0025960206985474,-0.0031551199499517679,77.096458435058594,,,,Y,Y,N,N,Y
34,C10,FALSE,CRII2020_Mote_AcML70,Acer,UNKNOWN,SYBR,None,19.678609848022461,19.473445892333984,0.29014700651168823,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.4984812492970776,3.841458797454834,3.3724963665008545,75.180557250976562,,,,Y,N,N,N,N
35,C11,FALSE,CRII2020_Mote_AcML70,A,UNKNOWN,SYBR,None,20.899978637695312,21.0762939453125,0.24934615194797516,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.3189445148965892,4.5178685188293457,4.0741591453552246,87.412857055664062,,,,Y,N,N,N,N
36,C12,FALSE,CRII2020_Mote_AcML70,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.1198364496231079,-0.0036539414431899786,75.770065307617188,,,,Y,Y,N,N,Y
37,D1,FALSE,CRII2020_Mote_AcML75,Acer,UNKNOWN,SYBR,None,19.985090255737305,19.708089828491211,0.39173775911331177,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.48878483463253303,4.0819778442382812,3.5813145637512207,74.885795593261719,,,,Y,N,N,N,N
38,D2,FALSE,CRII2020_Mote_AcML75,A,UNKNOWN,SYBR,None,20.628938674926758,20.928983688354492,0.42432773113250732,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.35734426521569929,4.5721497535705566,4.016690731048584,87.412857055664062,,,,Y,N,N,N,N
39,D3,FALSE,CRII2020_Mote_AcML75,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.1090830564498901,-0.0038245019968599081,74.591041564941406,,,,Y,Y,N,N,Y
40,D4,FALSE,CRII2020_Mote_AcML75,Acer,UNKNOWN,SYBR,None,19.431089401245117,19.708089828491211,0.39173775911331177,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.35422870282760249,3.8817334175109863,3.4068770408630371,75.180557250976562,,,,Y,N,N,N,N
41,D5,FALSE,CRII2020_Mote_AcML75,A,UNKNOWN,SYBR,None,21.229028701782227,20.928983688354492,0.42432773113250732,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.44429003285815399,4.3721823692321777,3.8355059623718262,87.56024169921875,,,,Y,N,N,N,N
42,D6,FALSE,CRII2020_Mote_AcML75,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0746986865997314,0.0002559536078479141,75.6226806640625,,,,Y,Y,N,N,Y
43,D7,FALSE,CRII2020_Mote_AcML76,Acer,UNKNOWN,SYBR,None,17.77427864074707,17.777040481567383,0.0039058327674865723,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.47367278362316551,3.8008248805999756,3.1751577854156494,75.033172607421875,,,,Y,N,N,N,N
44,D8,FALSE,CRII2020_Mote_AcML76,A,UNKNOWN,SYBR,None,21.555028915405273,21.328262329101562,0.32069504261016846,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.37582825621078175,4.2525911331176758,3.7463474273681641,87.56024169921875,,,,Y,N,N,N,N
45,D9,FALSE,CRII2020_Mote_AcML76,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0171927213668823,-0.0018708835123106837,76.654327392578125,,,,Y,Y,N,N,Y
46,D10,FALSE,CRII2020_Mote_AcML76,Acer,UNKNOWN,SYBR,None,17.779802322387695,17.777040481567383,0.0039058327674865723,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.43567205420529681,3.8588466644287109,3.2906370162963867,75.180557250976562,,,,Y,N,N,N,N
47,D11,FALSE,CRII2020_Mote_AcML76,A,UNKNOWN,SYBR,None,21.101497650146484,21.328262329101562,0.32069504261016846,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.32328961530260997,4.3765501976013184,3.8057105541229248,87.412857055664062,,,,Y,N,N,N,N
48,D12,FALSE,CRII2020_Mote_AcML76,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0875567197799683,-0.002024616114795208,74.591041564941406,,,,Y,Y,N,N,Y
49,E1,FALSE,CRII2020_Mote_AcML77,Acer,UNKNOWN,SYBR,None,17.558341979980469,17.536613464355469,0.030727412551641464,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.5192331714028865,4.3108706474304199,3.6889724731445312,74.885795593261719,,,,Y,N,N,N,N
50,E2,FALSE,CRII2020_Mote_AcML77,A,UNKNOWN,SYBR,None,20.592376708984375,20.728515625,0.19253085553646088,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.40484862923678328,4.6975913047790527,4.0873656272888184,87.412857055664062,,,,Y,N,N,N,N
51,E3,FALSE,CRII2020_Mote_AcML77,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0303258895874023,-0.0060715670697391033,75.6226806640625,,,,Y,Y,N,N,Y
52,E4,FALSE,CRII2020_Mote_AcML77,Acer,UNKNOWN,SYBR,None,17.514886856079102,17.536613464355469,0.030727412551641464,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.47899924324162862,4.1115965843200684,3.5351495742797852,75.180557250976562,,,,Y,N,N,N,N
53,E5,FALSE,CRII2020_Mote_AcML77,A,UNKNOWN,SYBR,None,20.864656448364258,20.728515625,0.19253085553646088,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.43680834457008533,4.3280115127563477,3.713054895401001,87.56024169921875,,,,Y,N,N,N,N
54,E6,FALSE,CRII2020_Mote_AcML77,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0927313566207886,-0.0015591302653774619,75.475311279296875,,,,Y,Y,N,N,Y
55,E7,FALSE,CRII2020_Mote_AcML78,Acer,UNKNOWN,SYBR,None,18.515260696411133,18.635225296020508,0.16965556144714355,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.42913339915363957,3.837862491607666,3.2587602138519287,75.033172607421875,,,,Y,N,N,N,N
56,E8,FALSE,CRII2020_Mote_AcML78,A,UNKNOWN,SYBR,None,21.749876022338867,21.775823593139648,0.036695405840873718,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.32644592511398846,4.3645696640014648,3.8342134952545166,87.56024169921875,,,,Y,N,N,N,N
57,E9,FALSE,CRII2020_Mote_AcML78,D,UNKNOWN,FAM,NFQ-MGB,32.178867340087891,32.178867340087891,,,,,,,,,FALSE,0.01,TRUE,3,31,Amp,,0.90967774478837427,2.3175394535064697,1.1890945434570312,78.275474548339844,,,,N,N,N,N,N
58,E10,FALSE,CRII2020_Mote_AcML78,Acer,UNKNOWN,SYBR,None,18.755189895629883,18.635225296020508,0.16965556144714355,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.46383746351208127,3.9439544677734375,3.4242117404937744,75.033172607421875,,,,Y,N,N,N,N
59,E11,FALSE,CRII2020_Mote_AcML78,A,UNKNOWN,SYBR,None,21.80177116394043,21.775823593139648,0.036695405840873718,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.3836310924226603,4.2519359588623047,3.7285544872283936,87.412857055664062,,,,Y,N,N,N,N
60,E12,FALSE,CRII2020_Mote_AcML78,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,32.178867340087891,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,3.3050286769866943,-0.0090581504628062248,60.000701904296875,,,,Y,Y,N,N,N
61,F1,FALSE,CRII2020_Mote_AcML79,Acer,UNKNOWN,SYBR,None,18.636354446411133,18.200057983398438,0.61701774597167969,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.52724599224864577,4.1857914924621582,3.6585414409637451,74.885795593261719,,,,Y,N,Y,N,N
62,F2,FALSE,CRII2020_Mote_AcML79,A,UNKNOWN,SYBR,None,20.532497406005859,21.046178817749023,0.7264552116394043,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.29370090652275127,4.6709017753601074,4.1364841461181641,87.412857055664062,,,,Y,N,Y,N,N
63,F3,FALSE,CRII2020_Mote_AcML79,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0518896579742432,-0.0033408431336283684,75.770065307617188,,,,Y,Y,N,N,Y
64,F4,FALSE,CRII2020_Mote_AcML79,Acer,UNKNOWN,SYBR,None,17.763759613037109,18.200057983398438,0.61701774597167969,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.32114540079864995,4.0267620086669922,3.4467344284057617,75.033172607421875,,,,Y,N,Y,N,N
65,F5,FALSE,CRII2020_Mote_AcML79,A,UNKNOWN,SYBR,None,21.559860229492188,21.046178817749023,0.7264552116394043,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.44957188127250358,3.3444671630859375,2.8570451736450195,87.412857055664062,,,,Y,N,Y,N,N
66,F6,FALSE,CRII2020_Mote_AcML79,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0528304576873779,-0.0056781107559800148,76.359573364257812,,,,Y,Y,N,N,Y
67,F7,FALSE,CRII2020_Mote_AcML80,Acer,UNKNOWN,SYBR,None,20.384164810180664,20.039806365966797,0.48699772357940674,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.47839297197910724,3.9170138835906982,3.3906335830688477,75.033172607421875,,,,Y,N,N,N,N
68,F8,FALSE,CRII2020_Mote_AcML80,A,UNKNOWN,SYBR,None,20.944633483886719,20.946758270263672,0.0030062503647059202,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.36175706600196295,4.2366242408752441,3.8100893497467041,87.56024169921875,,,,Y,N,N,N,N
69,F9,FALSE,CRII2020_Mote_AcML80,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0239061117172241,-0.0044310959056019783,78.4228515625,,,,Y,Y,N,N,Y
70,F10,FALSE,CRII2020_Mote_AcML80,Acer,UNKNOWN,SYBR,None,19.695446014404297,20.039806365966797,0.48699772357940674,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.30625688180616067,4.0106501579284668,3.5667531490325928,75.033172607421875,,,,Y,N,N,N,N
71,F11,FALSE,CRII2020_Mote_AcML80,A,UNKNOWN,SYBR,None,20.948884963989258,20.946758270263672,0.0030062503647059202,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.36813286043334265,4.4052610397338867,3.9387297630310059,87.56024169921875,,,,Y,N,N,N,N
72,F12,FALSE,CRII2020_Mote_AcML80,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0682332515716553,-0.0054111969657242298,75.033172607421875,,,,Y,Y,N,N,Y
73,G1,FALSE,CRII2020_Mote_AcML84,Acer,UNKNOWN,SYBR,None,17.943742752075195,18.577892303466797,0.89682424068450928,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.28703568978129723,4.4320363998413086,3.8671410083770752,74.738418579101562,,,,Y,N,Y,N,N
74,G2,FALSE,CRII2020_Mote_AcML84,A,UNKNOWN,SYBR,None,19.123701095581055,19.39537239074707,0.38420122861862183,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.27230452776308983,4.8913445472717285,4.3260564804077148,87.412857055664062,,,,Y,N,N,N,N
75,G3,FALSE,CRII2020_Mote_AcML84,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.1439979076385498,-0.003100536996498704,75.475311279296875,,,,Y,Y,N,N,N
76,G4,FALSE,CRII2020_Mote_AcML84,Acer,UNKNOWN,SYBR,None,19.212043762207031,18.577892303466797,0.89682424068450928,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.59236609140196073,4.006035327911377,3.4024457931518555,75.033172607421875,,,,Y,N,Y,N,N
77,G5,FALSE,CRII2020_Mote_AcML84,A,UNKNOWN,SYBR,None,19.667043685913086,19.39537239074707,0.38420122861862183,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.417891801014597,4.4651675224304199,3.9049410820007324,87.56024169921875,,,,Y,N,N,N,N
78,G6,FALSE,CRII2020_Mote_AcML84,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0485951900482178,-0.0028132237493991852,77.980720520019531,,,,Y,Y,N,N,Y
79,G7,FALSE,CRII2020_Mote_AcML88,Acer,UNKNOWN,SYBR,None,17.547674179077148,17.446731567382812,0.14275306463241577,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.44562672834140987,3.9609363079071045,3.3810005187988281,75.033172607421875,,,,Y,N,N,N,N
80,G8,FALSE,CRII2020_Mote_AcML88,A,UNKNOWN,SYBR,None,21.347282409667969,20.855302810668945,0.69576424360275269,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.48156335701580844,4.3583712577819824,3.8122365474700928,87.56024169921875,,,,Y,N,Y,N,N
