16,B4,FALSE,CRII2020_CRF_Ac119,Acer,UNKNOWN,SYBR,None,19.983572006225586,19.96234130859375,0.030023392289876938,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.39472033803867329,N,N,N,N,N,Y,N,75.327255249023438,,,
17,B5,FALSE,CRII2020_CRF_Ac119,A,UNKNOWN,SYBR,None,21.607938766479492,21.634315490722656,0.037300974130630493,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.38450352093149232,N,N,N,N,N,Y,N,87.70648193359375,,,
18,B6,FALSE,CRII2020_CRF_Ac119,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,Y,N,76.800979614257812,,,
19,B7,FALSE,CRII2020_CRF_Ac121,Acer,UNKNOWN,SYBR,None,18.225440979003906,17.930604934692383,0.41696113348007202,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.47014883620210007,N,N,N,N,N,Y,N,75.327255249023438,,,
20,B8,FALSE,CRII2020_CRF_Ac121,A,UNKNOWN,SYBR,None,19.562345504760742,20.288843154907227,1.0274227857589722,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.18639143530495225,N,N,N,N,N,Y,Y,87.70648193359375,,,
21,B9,FALSE,CRII2020_CRF_Ac121,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,Y,N,77.243087768554688,,,
22,B10,FALSE,CRII2020_CRF_Ac121,Acer,UNKNOWN,SYBR,None,17.635768890380859,17.930604934692383,0.41696113348007202,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.33741700631122823,N,N,N,N,N,Y,N,75.327255249023438,,,
23,B11,FALSE,CRII2020_CRF_Ac121,A,UNKNOWN,SYBR,None,21.015340805053711,20.288843154907227,1.0274227857589722,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.43975001827915433,N,N,N,N,N,Y,Y,87.559112548828125,,,
24,B12,FALSE,CRII2020_CRF_Ac121,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,Y,N,74.148284912109375,,,
25,C1,FALSE,CRII2020_UM_Ac14y,Acer,UNKNOWN,SYBR,None,17.665054321289062,17.769878387451172,0.14824362099170685,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.44309860947129148,N,N,N,N,N,Y,N,75.179885864257812,,,
26,C2,FALSE,CRII2020_UM_Ac14y,A,UNKNOWN,SYBR,None,18.864770889282227,19.172903060913086,0.43576470017433167,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.33657613413003712,N,N,N,N,N,Y,N,87.559112548828125,,,
27,C3,FALSE,CRII2020_UM_Ac14y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,N,N,Y,N,76.21148681640625,,,
28,C4,FALSE,CRII2020_UM_Ac14y,Acer,UNKNOWN,SYBR,None,17.874702453613281,17.769878387451172,0.14824362099170685,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.49477929227970135,N,N,N,N,N,Y,N,75.474632263183594,,,
29,C5,FALSE,CRII2020_UM_Ac14y,A,UNKNOWN,SYBR,None,19.481035232543945,19.172903060913086,0.43576470017433167,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.43948863550595535,N,N,N,N,N,Y,N,87.70648193359375,,,
30,C6,FALSE,CRII2020_UM_Ac14y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,N,N,Y,N,74.443031311035156,,,
31,C7,FALSE,CRII2020_UM_Ac15y,Acer,UNKNOWN,SYBR,None,19.357387542724609,18.975688934326172,0.53980201482772827,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.55598179552102944,N,N,N,N,N,Y,Y,75.179885864257812,,,
32,C8,FALSE,CRII2020_UM_Ac15y,A,UNKNOWN,SYBR,None,18.528961181640625,19.306289672851562,1.0993098020553589,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.20259508441015442,N,N,N,N,N,Y,Y,87.70648193359375,,,
33,C9,FALSE,CRII2020_UM_Ac15y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,5.7166752815246582,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,N,N,Y,N,78.274696350097656,,,
34,C10,FALSE,CRII2020_UM_Ac15y,Acer,UNKNOWN,SYBR,None,18.593992233276367,18.975688934326172,0.53980201482772827,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.37415004235626559,N,N,N,N,N,Y,Y,75.327255249023438,,,
35,C11,FALSE,CRII2020_UM_Ac15y,A,UNKNOWN,SYBR,None,20.083620071411133,19.306289672851562,1.0993098020553589,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.46024089996518314,N,N,N,N,N,Y,Y,87.559112548828125,,,
36,C12,FALSE,CRII2020_UM_Ac15y,D,UNKNOWN,FAM,NFQ-MGB,5.7166752815246582,5.7166752815246582,,,,,,,,,FALSE,0.01,TRUE,3,4,No Amp,,0.30496715249672185,N,N,Y,Y,N,Y,N,75.327255249023438,,,
37,D1,FALSE,CRII2020_UM_Ac16y,Acer,UNKNOWN,SYBR,None,19.280597686767578,18.994583129882812,0.40448430180549622,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.53838391249108031,N,N,N,N,N,Y,N,75.032516479492188,,,
38,D2,FALSE,CRII2020_UM_Ac16y,A,UNKNOWN,SYBR,None,21.422496795654297,21.115240097045898,0.43452659249305725,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.51164038042077287,N,N,N,N,N,Y,N,87.559112548828125,,,
39,D3,FALSE,CRII2020_UM_Ac16y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,26,No Amp,,0,N,N,N,Y,N,Y,N,76.21148681640625,,,
40,D4,FALSE,CRII2020_UM_Ac16y,Acer,UNKNOWN,SYBR,None,18.70857048034668,18.994583129882812,0.40448430180549622,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.37882671219721326,N,N,N,N,N,Y,N,75.327255249023438,,,
41,D5,FALSE,CRII2020_UM_Ac16y,A,UNKNOWN,SYBR,None,20.8079833984375,21.115240097045898,0.43452659249305725,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.40921782499583542,N,N,N,N,N,Y,N,87.559112548828125,,,
42,D6,FALSE,CRII2020_UM_Ac16y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,Y,N,76.358863830566406,,,
43,D7,FALSE,CRII2020_UM_Ac19y,Acer,UNKNOWN,SYBR,None,17.454219818115234,17.537258148193359,0.1174352839589119,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.33296435872480662,N,N,N,N,N,Y,N,75.179885864257812,,,
44,D8,FALSE,CRII2020_UM_Ac19y,A,UNKNOWN,SYBR,None,19.659259796142578,18.630891799926758,1.4543319940567017,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.3759098689185828,N,N,N,N,N,Y,Y,87.70648193359375,,,
45,D9,FALSE,CRII2020_UM_Ac19y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,Y,N,76.358863830566406,,,
46,D10,FALSE,CRII2020_UM_Ac19y,Acer,UNKNOWN,SYBR,None,17.620298385620117,17.537258148193359,0.1174352839589119,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.35964081060243347,N,N,N,N,N,Y,N,75.327255249023438,,,
47,D11,FALSE,CRII2020_UM_Ac19y,A,UNKNOWN,SYBR,None,17.602523803710938,18.630891799926758,1.4543319940567017,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.12466203402183099,N,N,N,N,N,Y,Y,87.559112548828125,,,
48,D12,FALSE,CRII2020_UM_Ac19y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,Y,N,74.443031311035156,,,
49,E1,FALSE,CRII2020_UM_Ac23y,Acer,UNKNOWN,SYBR,None,16.796730041503906,17.225852966308594,0.60687011480331421,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.21119260257168429,N,N,N,N,N,Y,Y,75.032516479492188,,,
50,E2,FALSE,CRII2020_UM_Ac23y,A,UNKNOWN,SYBR,None,17.624179840087891,17.681709289550781,0.081358924508094788,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.30713220957514642,N,N,N,N,N,Y,N,87.4117431640625,,,
51,E3,FALSE,CRII2020_UM_Ac23y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,Y,N,76.358863830566406,,,
52,E4,FALSE,CRII2020_UM_Ac23y,Acer,UNKNOWN,SYBR,None,17.654973983764648,17.225852966308594,0.60687011480331421,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.34715338763855513,N,N,N,N,N,Y,Y,75.327255249023438,,,
53,E5,FALSE,CRII2020_UM_Ac23y,A,UNKNOWN,SYBR,None,17.739238739013672,17.681709289550781,0.081358924508094788,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.32022286012124107,N,N,N,N,N,Y,N,87.559112548828125,,,
54,E6,FALSE,CRII2020_UM_Ac23y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,Y,N,75.474632263183594,,,
55,E7,FALSE,CRII2020_UM_Ac27y,Acer,UNKNOWN,SYBR,None,19.814056396484375,19.845790863037109,0.044880662113428116,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.48517543033063204,N,N,N,N,N,Y,N,75.179885864257812,,,
56,E8,FALSE,CRII2020_UM_Ac27y,A,UNKNOWN,SYBR,None,18.326498031616211,18.538759231567383,0.30018267035484314,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.151046368444781,N,N,N,N,N,Y,N,87.70648193359375,,,
57,E9,FALSE,CRII2020_UM_Ac27y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,36.821079254150391,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,Y,N,77.095718383789062,,,
58,E10,FALSE,CRII2020_UM_Ac27y,Acer,UNKNOWN,SYBR,None,19.877527236938477,19.845790863037109,0.044880662113428116,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.45740528635048744,N,N,N,N,N,Y,N,75.179885864257812,,,
59,E11,FALSE,CRII2020_UM_Ac27y,A,UNKNOWN,SYBR,None,18.751020431518555,18.538759231567383,0.30018267035484314,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.18453574590126054,N,N,N,N,N,Y,N,87.559112548828125,,,
60,E12,FALSE,CRII2020_UM_Ac27y,D,UNKNOWN,FAM,NFQ-MGB,36.821079254150391,36.821079254150391,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0.12506106744150375,N,Y,N,N,N,Y,N,60.000598907470703,,,
61,F1,FALSE,CRII2020_UM_Ac28y,Acer,UNKNOWN,SYBR,None,18.905473709106445,19.051431655883789,0.20641571283340454,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.39209184697834359,N,N,N,N,N,Y,N,75.032516479492188,,,
62,F2,FALSE,CRII2020_UM_Ac28y,A,UNKNOWN,SYBR,None,18.955759048461914,19.117647171020508,0.22894437611103058,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.3166598668933821,N,N,N,N,N,Y,N,87.559112548828125,,,
63,F3,FALSE,CRII2020_UM_Ac28y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,Y,N,75.179885864257812,,,
64,F4,FALSE,CRII2020_UM_Ac28y,Acer,UNKNOWN,SYBR,None,19.197389602661133,19.051431655883789,0.20641571283340454,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.46849965663360871,N,N,N,N,N,Y,N,75.179885864257812,,,
65,F5,FALSE,CRII2020_UM_Ac28y,A,UNKNOWN,SYBR,None,19.279535293579102,19.117647171020508,0.22894437611103058,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.37413039628699163,N,N,N,N,N,Y,N,87.559112548828125,,,
66,F6,FALSE,CRII2020_UM_Ac28y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,Y,N,76.21148681640625,,,
67,F7,FALSE,CRII2020_UM_Ac29y,Acer,UNKNOWN,SYBR,None,18.666225433349609,19.020694732666016,0.50129526853561401,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.32342255557791993,N,N,N,N,N,Y,Y,75.179885864257812,,,
68,F8,FALSE,CRII2020_UM_Ac29y,A,UNKNOWN,SYBR,None,19.647621154785156,20.115203857421875,0.66126042604446411,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.3232105406542905,N,N,N,N,N,Y,Y,87.70648193359375,,,
69,F9,FALSE,CRII2020_UM_Ac29y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,Y,N,77.095718383789062,,,
70,F10,FALSE,CRII2020_UM_Ac29y,Acer,UNKNOWN,SYBR,None,19.375164031982422,19.020694732666016,0.50129526853561401,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.50727166119640754,N,N,N,N,N,Y,Y,75.179885864257812,,,
71,F11,FALSE,CRII2020_UM_Ac29y,A,UNKNOWN,SYBR,None,20.582784652709961,20.115203857421875,0.66126042604446411,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.43454931309084294,N,N,N,N,N,Y,Y,87.559112548828125,,,
72,F12,FALSE,CRII2020_UM_Ac29y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,N,N,Y,N,74.148284912109375,,,
73,G1,FALSE,CRII2020_UM_Ac30y,Acer,UNKNOWN,SYBR,None,16.892904281616211,17.101066589355469,0.29438459873199463,,,,,,,,FALSE,0.01,TRUE,3,15,Amp,,0.24532671873867876,N,N,N,N,N,Y,N,75.032516479492188,,,
74,G2,FALSE,CRII2020_UM_Ac30y,A,UNKNOWN,SYBR,None,20.092018127441406,20.137369155883789,0.064136043190956116,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.45665350777779262,N,N,N,N,N,Y,N,87.4117431640625,,,
75,G3,FALSE,CRII2020_UM_Ac30y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,Y,N,75.474632263183594,,,
76,G4,FALSE,CRII2020_UM_Ac30y,Acer,UNKNOWN,SYBR,None,17.309226989746094,17.101066589355469,0.29438459873199463,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.31804476085896743,N,N,N,N,N,Y,N,75.179885864257812,,,
77,G5,FALSE,CRII2020_UM_Ac30y,A,UNKNOWN,SYBR,None,20.182720184326172,20.137369155883789,0.064136043190956116,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.49568680496650691,N,N,N,N,N,Y,N,87.559112548828125,,,
78,G6,FALSE,CRII2020_UM_Ac30y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,N,N,Y,N,77.83258056640625,,,
79,G7,FALSE,CRII2020_UM_Ac32y,Acer,UNKNOWN,SYBR,None,19.734279632568359,19.800918579101562,0.094241701066493988,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.53453685121826722,N,N,N,N,N,Y,N,75.179885864257812,,,
80,G8,FALSE,CRII2020_UM_Ac32y,A,UNKNOWN,SYBR,None,19.408849716186523,19.543445587158203,0.19034595787525177,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.46912979181542752,N,N,N,N,N,Y,N,87.70648193359375,,,
81,G9,FALSE,CRII2020_UM_Ac32y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,Y,N,78.274696350097656,,,
82,G10,FALSE,CRII2020_UM_Ac32y,Acer,UNKNOWN,SYBR,None,19.867557525634766,19.800918579101562,0.094241701066493988,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.5048846570422284,N,N,N,N,N,Y,N,75.179885864257812,,,
83,G11,FALSE,CRII2020_UM_Ac32y,A,UNKNOWN,SYBR,None,19.67803955078125,19.543445587158203,0.19034595787525177,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.52516245022187102,N,N,N,N,N,Y,N,87.559112548828125,,,
84,G12,FALSE,CRII2020_UM_Ac32y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,Y,N,75.179885864257812,,,
85,H1,FALSE,NTC,Acer,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,21,No Amp,,0,N,N,N,Y,Y,Y,N,60.884830474853516,,,
86,H2,FALSE,NTC,A,UNKNOWN,SYBR,None,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,Y,Y,N,Y,N,Y,N,88.295974731445312,91.243408203125,73.558799743652344,69.285018920898438
87,H3,FALSE,NTC,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,Y,N,77.243087768554688,,,
88,H4,FALSE,CRII2020_UM_Ac36y,Acer,UNKNOWN,SYBR,None,19.895875930786133,19.840028762817383,0.078979820013046265,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.43206866622092394,N,N,N,N,N,Y,N,75.179885864257812,,,
89,H5,FALSE,CRII2020_UM_Ac36y,A,UNKNOWN,SYBR,None,19.789955139160156,19.757293701171875,0.046188898384571075,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.32271876379313441,N,N,N,N,N,Y,N,87.559112548828125,,,
90,H6,FALSE,CRII2020_UM_Ac36y,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,N,Y,N,Y,N,Y,N,76.800979614257812,,,
