14,B2,FALSE,CRII2020_CRF_Ac7,A,UNKNOWN,SYBR,None,21.592264175415039,21.519355773925781,0.10310939699411392,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.48813973805322791,4.3598494529724121,3.8245255947113037,87.54681396484375,,,,Y,N,N,N,N
15,B3,FALSE,CRII2020_CRF_Ac7,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0700168609619141,-0.002663403982296586,77.088241577148438,,,,Y,Y,N,N,Y
16,B4,FALSE,CRII2020_CRF_Ac7,Acer,UNKNOWN,SYBR,None,18.481592178344727,18.550724029541016,0.09776720404624939,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.35858513883457044,3.8321080207824707,3.3427305221557617,75.320594787597656,,,,Y,N,N,N,N
17,B5,FALSE,CRII2020_CRF_Ac7,A,UNKNOWN,SYBR,None,21.446445465087891,21.519355773925781,0.10310939699411392,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.49578334576933047,4.3549666404724121,3.7741100788116455,87.694114685058594,,,,Y,N,N,N,N
18,B6,FALSE,CRII2020_CRF_Ac7,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0098785161972046,-0.0019021098269149661,77.088241577148438,,,,Y,Y,N,N,Y
19,B7,FALSE,CRII2020_CRF_Ac8,Acer,UNKNOWN,SYBR,None,18.755365371704102,18.776836395263672,0.030364612117409706,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.5007417461773217,4.031522274017334,3.4740917682647705,75.025985717773438,,,,Y,N,N,N,N
20,B8,FALSE,CRII2020_CRF_Ac8,A,UNKNOWN,SYBR,None,22.195028305053711,21.579690933227539,0.87021845579147339,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.63248918589345604,4.4593687057495117,3.7018592357635498,87.988723754882812,,,,Y,N,Y,N,N
21,B9,FALSE,CRII2020_CRF_Ac8,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0552800893783569,0.0029177011456340551,77.235549926757812,,,,Y,Y,N,N,Y
22,B10,FALSE,CRII2020_CRF_Ac8,Acer,UNKNOWN,SYBR,None,18.798307418823242,18.776836395263672,0.030364612117409706,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.44991752912870142,4.0019197463989258,3.4227180480957031,75.173294067382812,,,,Y,N,N,N,N
23,B11,FALSE,CRII2020_CRF_Ac8,A,UNKNOWN,SYBR,None,20.964353561401367,21.579690933227539,0.87021845579147339,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.42560589688492045,4.5409131050109863,4.0705986022949219,87.54681396484375,,,,Y,N,Y,N,N
24,B12,FALSE,CRII2020_CRF_Ac8,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.129220724105835,0.0027030028868466616,74.73138427734375,,,,Y,Y,N,N,Y
25,C1,FALSE,CRII2020_CRF_Ac10,Acer,UNKNOWN,SYBR,None,17.82056999206543,17.972904205322266,0.21543446183204651,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.45141140673973312,4.2493147850036621,3.5659432411193848,75.025985717773438,,,,Y,N,N,N,N
26,C2,FALSE,CRII2020_CRF_Ac10,A,UNKNOWN,SYBR,None,19.911741256713867,20.691062927246094,1.102125883102417,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.22186817852383858,4.3670883178710938,3.8232252597808838,87.399505615234375,,,,Y,N,Y,N,N
27,C3,FALSE,CRII2020_CRF_Ac10,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.1102569103240967,-0.002052792115136981,75.76251220703125,,,,Y,Y,N,N,Y
28,C4,FALSE,CRII2020_CRF_Ac10,Acer,UNKNOWN,SYBR,None,18.125240325927734,17.972904205322266,0.21543446183204651,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.48605119508069428,3.9630115032196045,3.4039015769958496,75.173294067382812,,,,Y,N,N,N,N
29,C5,FALSE,CRII2020_CRF_Ac10,A,UNKNOWN,SYBR,None,21.470382690429688,20.691062927246094,1.102125883102417,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.50860071626321823,4.1887130737304688,3.569981575012207,87.54681396484375,,,,Y,N,Y,N,N
30,C6,FALSE,CRII2020_CRF_Ac10,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0243080854415894,-0.0027713284362107515,75.173294067382812,,,,Y,Y,N,N,Y
31,C7,FALSE,CRII2020_CRF_Ac13,Acer,UNKNOWN,SYBR,None,19.113454818725586,19.165134429931641,0.073086008429527283,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.54044789550766847,3.8745987415313721,3.3648941516876221,75.025985717773438,,,,Y,N,N,N,N
32,C8,FALSE,CRII2020_CRF_Ac13,A,UNKNOWN,SYBR,None,20.533809661865234,20.57441520690918,0.057424914091825485,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.41033066515553684,4.3431172370910645,3.8525989055633545,87.54681396484375,,,,Y,N,N,N,N
33,C9,FALSE,CRII2020_CRF_Ac13,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0146723985671997,-6.5935623752011452e-06,76.793632507324219,,,,Y,Y,N,N,Y
34,C10,FALSE,CRII2020_CRF_Ac13,Acer,UNKNOWN,SYBR,None,19.216814041137695,19.165134429931641,0.073086008429527283,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.5704381832884261,3.8833568096160889,3.3772854804992676,75.173294067382812,,,,Y,N,N,N,N
35,C11,FALSE,CRII2020_CRF_Ac13,A,UNKNOWN,SYBR,None,20.615020751953125,20.57441520690918,0.057424914091825485,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.39887474340697199,4.4675278663635254,3.989957332611084,87.54681396484375,,,,Y,N,N,N,N
36,C12,FALSE,CRII2020_CRF_Ac13,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.1458656787872314,-0.0045891818590462208,75.173294067382812,,,,Y,Y,N,N,Y
37,D1,FALSE,CRII2020_CRF_Ac19,Acer,UNKNOWN,SYBR,None,17.266036987304688,17.267162322998047,0.0015914649702608585,,,,,,,,FALSE,0.01,TRUE,3,15,Amp,,0.48939748005565886,4.1059279441833496,3.4474666118621826,74.878684997558594,,,,Y,N,N,N,N
38,D2,FALSE,CRII2020_CRF_Ac19,A,UNKNOWN,SYBR,None,21.077062606811523,20.798175811767578,0.39440548419952393,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.53379961702480316,4.4671492576599121,3.7403049468994141,87.399505615234375,,,,Y,N,N,N,N
39,D3,FALSE,CRII2020_CRF_Ac19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0888524055480957,0.0013395483838394284,75.025985717773438,,,,Y,Y,N,N,Y
40,D4,FALSE,CRII2020_CRF_Ac19,Acer,UNKNOWN,SYBR,None,17.268287658691406,17.267162322998047,0.0015914649702608585,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.50404507660551912,3.6859123706817627,3.0988109111785889,75.173294067382812,,,,Y,N,N,N,N
41,D5,FALSE,CRII2020_CRF_Ac19,A,UNKNOWN,SYBR,None,20.519289016723633,20.798175811767578,0.39440548419952393,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.37593667310089474,4.2155575752258301,3.6121809482574463,87.399505615234375,,,,Y,N,N,N,N
42,D6,FALSE,CRII2020_CRF_Ac19,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.04747474193573,-0.0033018295653164387,76.351722717285156,,,,Y,Y,N,N,Y
43,D7,FALSE,CRII2020_CRF_Ac20,Acer,UNKNOWN,SYBR,None,19.497219085693359,19.457300186157227,0.056453850120306015,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.53996504989811644,3.761798620223999,3.2879114151000977,75.025985717773438,,,,Y,N,N,N,N
44,D8,FALSE,CRII2020_CRF_Ac20,A,UNKNOWN,SYBR,None,21.449586868286133,21.439815521240234,0.013817423023283482,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.45084003357740132,4.2221627235412598,3.710517406463623,87.54681396484375,,,,Y,N,N,N,N
45,D9,FALSE,CRII2020_CRF_Ac20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0238447189331055,-0.0029120177496224642,76.940933227539062,,,,Y,Y,N,N,Y
46,D10,FALSE,CRII2020_CRF_Ac20,Acer,UNKNOWN,SYBR,None,19.417381286621094,19.457300186157227,0.056453850120306015,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.47092004872860921,4.0332293510437012,3.5082533359527588,75.173294067382812,,,,Y,N,N,N,N
47,D11,FALSE,CRII2020_CRF_Ac20,A,UNKNOWN,SYBR,None,21.430046081542969,21.439815521240234,0.013817423023283482,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.40790940257950847,4.1314382553100586,3.6895260810852051,87.399505615234375,,,,Y,N,N,N,N
48,D12,FALSE,CRII2020_CRF_Ac20,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0869982242584229,-0.0043859411962330341,74.142166137695312,,,,Y,Y,N,N,Y
49,E1,FALSE,CRII2020_CRF_Ac23,Acer,UNKNOWN,SYBR,None,18.794418334960938,18.357856750488281,0.61739128828048706,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.38277943081572513,4.1878752708435059,3.6423811912536621,74.878684997558594,,,,Y,N,Y,N,N
50,E2,FALSE,CRII2020_CRF_Ac23,A,UNKNOWN,SYBR,None,20.502531051635742,20.483194351196289,0.027346223592758179,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.37940295993848655,4.6355938911437988,4.0787649154663086,87.399505615234375,,,,Y,N,N,N,N
51,E3,FALSE,CRII2020_CRF_Ac23,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0786838531494141,0.00083706295117735863,75.76251220703125,,,,Y,Y,N,N,Y
52,E4,FALSE,CRII2020_CRF_Ac23,Acer,UNKNOWN,SYBR,None,17.921295166015625,18.357856750488281,0.61739128828048706,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.16236293848782968,4.1890072822570801,3.7008519172668457,75.615203857421875,,,,Y,N,Y,N,N
53,E5,FALSE,CRII2020_CRF_Ac23,A,UNKNOWN,SYBR,None,20.463857650756836,20.483194351196289,0.027346223592758179,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.40528747846074936,2.7736661434173584,2.4378125667572021,87.399505615234375,,,,Y,N,N,N,N
54,E6,FALSE,CRII2020_CRF_Ac23,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0982651710510254,-0.0026384296361356974,75.4678955078125,,,,Y,Y,N,N,Y
55,E7,FALSE,CRII2020_CRF_Ac24,Acer,UNKNOWN,SYBR,None,18.243255615234375,18.435157775878906,0.27138927578926086,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.50764096122726354,3.6955745220184326,3.1622805595397949,75.173294067382812,,,,Y,N,N,N,N
56,E8,FALSE,CRII2020_CRF_Ac24,A,UNKNOWN,SYBR,None,20.95576286315918,21.40562629699707,0.63620299100875854,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.39870731849565372,4.3870377540588379,3.8154404163360596,87.54681396484375,,,,Y,N,Y,N,N
57,E9,FALSE,CRII2020_CRF_Ac24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0519068241119385,-0.0023313546553254128,77.5301513671875,,,,Y,Y,N,N,Y
58,E10,FALSE,CRII2020_CRF_Ac24,Acer,UNKNOWN,SYBR,None,18.627058029174805,18.435157775878906,0.27138927578926086,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.5436215765594018,4.1093540191650391,3.5460572242736816,75.025985717773438,,,,Y,N,N,N,N
59,E11,FALSE,CRII2020_CRF_Ac24,A,UNKNOWN,SYBR,None,21.855489730834961,21.40562629699707,0.63620299100875854,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.4897770992800205,4.2736663818359375,3.7054307460784912,87.399505615234375,,,,Y,N,Y,N,N
60,E12,FALSE,CRII2020_CRF_Ac24,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,3.4747734069824219,0.00049513846170157194,60.000999450683594,,,,Y,Y,N,N,N
61,F1,FALSE,CRII2020_CRF_Ac28,Acer,UNKNOWN,SYBR,None,17.765253067016602,18.57832145690918,1.1498523950576782,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.23435399639438628,4.1374025344848633,3.6298987865447998,74.878684997558594,,,,Y,N,Y,N,N
62,F2,FALSE,CRII2020_CRF_Ac28,A,UNKNOWN,SYBR,None,21.725597381591797,21.759532928466797,0.047993458807468414,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.37049678954227655,4.6037182807922363,4.0815138816833496,87.399505615234375,,,,Y,N,N,N,N
63,F3,FALSE,CRII2020_CRF_Ac28,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0689642429351807,-0.0025003601331263781,75.909812927246094,,,,Y,Y,N,N,Y
64,F4,FALSE,CRII2020_CRF_Ac28,Acer,UNKNOWN,SYBR,None,19.391389846801758,18.57832145690918,1.1498523950576782,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.53166619585203079,4.0464811325073242,3.529104471206665,75.173294067382812,,,,Y,N,Y,N,N
65,F5,FALSE,CRII2020_CRF_Ac28,A,UNKNOWN,SYBR,None,21.79347038269043,21.759532928466797,0.047993458807468414,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.42339718986453045,4.179682731628418,3.6994996070861816,87.54681396484375,,,,Y,N,N,N,N
66,F6,FALSE,CRII2020_CRF_Ac28,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0418386459350586,-0.002370001282542944,76.204421997070312,,,,Y,Y,N,N,Y
67,F7,FALSE,CRII2020_CRF_Ac29,Acer,UNKNOWN,SYBR,None,19.104597091674805,19.121044158935547,0.023259665817022324,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.32118833274909525,3.8837258815765381,3.3246328830718994,75.025985717773438,,,,Y,N,N,N,N
68,F8,FALSE,CRII2020_CRF_Ac29,A,UNKNOWN,SYBR,None,20.646080017089844,20.784250259399414,0.19540223479270935,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.35397473445737848,4.3813433647155762,3.8977079391479492,87.54681396484375,,,,Y,N,N,N,N
69,F9,FALSE,CRII2020_CRF_Ac29,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0392121076583862,-0.00081103044794872403,78.119369506835938,,,,Y,Y,N,N,Y
70,F10,FALSE,CRII2020_CRF_Ac29,Acer,UNKNOWN,SYBR,None,19.137491226196289,19.121044158935547,0.023259665817022324,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.30960298848669338,3.9557561874389648,3.4847171306610107,75.025985717773438,,,,Y,N,N,N,N
71,F11,FALSE,CRII2020_CRF_Ac29,A,UNKNOWN,SYBR,None,20.922420501708984,20.784250259399414,0.19540223479270935,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.34124150030279748,4.6470293998718262,4.1353545188903809,87.54681396484375,,,,Y,N,N,N,N
72,F12,FALSE,CRII2020_CRF_Ac29,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0726191997528076,-0.0022586805280297995,74.73138427734375,,,,Y,Y,N,N,Y
73,G1,FALSE,CRII2020_CRF_Ac31,Acer,UNKNOWN,SYBR,None,17.421554565429688,17.722011566162109,0.42491036653518677,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.37080524456049785,4.4016461372375488,3.7935163974761963,74.878684997558594,,,,Y,N,N,N,N
74,G2,FALSE,CRII2020_CRF_Ac31,A,UNKNOWN,SYBR,None,20.416635513305664,20.466629028320312,0.070700161159038544,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.37054487719724483,4.762904167175293,4.1239204406738281,87.399505615234375,,,,Y,N,N,N,N
75,G3,FALSE,CRII2020_CRF_Ac31,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.155271053314209,0.0014413396129384637,75.4678955078125,,,,Y,Y,N,N,Y
76,G4,FALSE,CRII2020_CRF_Ac31,Acer,UNKNOWN,SYBR,None,18.022468566894531,17.722011566162109,0.42491036653518677,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.49830390273683905,4.1431221961975098,3.4965145587921143,75.173294067382812,,,,Y,N,N,N,N
77,G5,FALSE,CRII2020_CRF_Ac31,A,UNKNOWN,SYBR,None,20.516620635986328,20.466629028320312,0.070700161159038544,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.44172711274987397,4.6196584701538086,4.0051484107971191,87.54681396484375,,,,Y,N,N,N,N
78,G6,FALSE,CRII2020_CRF_Ac31,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0665136575698853,-0.0015675436006858945,78.561279296875,,,,Y,Y,N,N,Y
79,G7,FALSE,CRII2020_CRF_Ac32,Acer,UNKNOWN,SYBR,None,17.648771286010742,17.919708251953125,0.3831627368927002,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.57530103976788216,3.9291675090789795,3.198744535446167,75.025985717773438,,,,Y,N,N,N,N
80,G8,FALSE,CRII2020_CRF_Ac32,A,UNKNOWN,SYBR,None,19.230154037475586,19.904396057128906,0.95352357625961304,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.31844045701196683,4.5122861862182617,3.8727538585662842,87.54681396484375,,,,Y,N,Y,N,N
