15,B3,FALSE,CRII2020_RRT_Ap162,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.96308350563049316,-0.00026727878139354289,76.803695678710938,,,,Y,Y,N,N,Y
16,B4,FALSE,CRII2020_RRT_Ap162,Acer,UNKNOWN,SYBR,None,18.466426849365234,18.297676086425781,0.23864826560020447,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.6688847028172763,2.3721411228179932,2.0424408912658691,75.624488830566406,,,,N,Y,N,N,N
17,B5,FALSE,CRII2020_RRT_Ap162,A,UNKNOWN,SYBR,None,21.44056510925293,21.444664001464844,0.0057953600771725178,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.49555388926003741,3.5558853149414062,3.1192276477813721,87.71136474609375,,,,N,Y,N,N,N
18,B6,FALSE,CRII2020_RRT_Ap162,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.92022186517715454,-0.0021374623756855726,76.803695678710938,,,,Y,Y,N,N,Y
19,B7,FALSE,CRII2020_RRT_Ap163,Acer,UNKNOWN,SYBR,None,18.342683792114258,18.449569702148438,0.15115951001644135,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.66691216606859638,2.335334300994873,2.0057892799377441,75.477088928222656,,,,N,Y,N,N,N
20,B8,FALSE,CRII2020_RRT_Ap163,A,UNKNOWN,SYBR,None,21.347465515136719,21.542449951171875,0.27575099468231201,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.45802351917340361,3.3355171680450439,2.9789843559265137,87.71136474609375,,,,N,Y,N,N,N
21,B9,FALSE,CRII2020_RRT_Ap163,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.93193459510803223,-0.001693932106718421,76.951095581054688,,,,Y,Y,N,N,Y
22,B10,FALSE,CRII2020_RRT_Ap163,Acer,UNKNOWN,SYBR,None,18.556455612182617,18.449569702148438,0.15115951001644135,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.6798331031596373,2.3285307884216309,1.9272615909576416,75.624488830566406,,,,N,Y,N,N,N
23,B11,FALSE,CRII2020_RRT_Ap163,A,UNKNOWN,SYBR,None,21.737436294555664,21.542449951171875,0.27575099468231201,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.54050027826334768,3.4125502109527588,3.0634925365447998,87.563957214355469,,,,N,Y,N,N,N
24,B12,FALSE,CRII2020_RRT_Ap163,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0001612901687622,0.00054679822642356157,78.572509765625,,,,Y,Y,N,N,Y
25,C1,FALSE,CRII2020_RRT_Ap164,Acer,UNKNOWN,SYBR,None,16.891014099121094,17.169418334960938,0.39372169971466064,,,,,,,,FALSE,0.01,TRUE,3,15,Amp,,0.57035172804719636,2.4808282852172852,1.9558322429656982,75.477088928222656,,,,N,Y,N,N,N
26,C2,FALSE,CRII2020_RRT_Ap164,A,UNKNOWN,SYBR,None,19.800394058227539,20.04254150390625,0.34244954586029053,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.44801141044324083,3.5848555564880371,3.0822067260742188,87.563957214355469,,,,N,Y,N,N,N
27,C3,FALSE,CRII2020_RRT_Ap164,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.99308836460113525,-0.0047270739451050758,75.034889221191406,,,,Y,Y,N,N,N
28,C4,FALSE,CRII2020_RRT_Ap164,Acer,UNKNOWN,SYBR,None,17.447820663452148,17.169418334960938,0.39372169971466064,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.75533206793656926,2.3365793228149414,1.9234206676483154,75.624488830566406,,,,N,Y,N,N,N
29,C5,FALSE,CRII2020_RRT_Ap164,A,UNKNOWN,SYBR,None,20.284690856933594,20.04254150390625,0.34244954586029053,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.58659728878496653,3.422844409942627,2.8382105827331543,87.563957214355469,,,,N,Y,N,N,N
30,C6,FALSE,CRII2020_RRT_Ap164,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.92505890130996704,-0.0026219647843390703,75.477088928222656,,,,Y,Y,N,N,Y
31,C7,FALSE,CRII2020_RRT_Ap165,Acer,UNKNOWN,SYBR,None,18.151554107666016,18.266159057617188,0.16207452118396759,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.71840239124279881,2.2768034934997559,1.9352000951766968,75.477088928222656,,,,N,Y,N,N,N
32,C8,FALSE,CRII2020_RRT_Ap165,A,UNKNOWN,SYBR,None,21.274740219116211,21.412937164306641,0.19543999433517456,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.38859037898093013,3.4585175514221191,3.0710234642028809,87.71136474609375,,,,N,Y,N,N,N
33,C9,FALSE,CRII2020_RRT_Ap165,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.90761542320251465,-0.0013738794950768352,76.066696166992188,,,,Y,Y,N,N,Y
34,C10,FALSE,CRII2020_RRT_Ap165,Acer,UNKNOWN,SYBR,None,18.380762100219727,18.266159057617188,0.16207452118396759,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.79417559522855441,2.1246151924133301,1.7585355043411255,75.477088928222656,,,,N,Y,N,N,N
35,C11,FALSE,CRII2020_RRT_Ap165,A,UNKNOWN,SYBR,None,21.55113410949707,21.412937164306641,0.19543999433517456,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.39890820181252701,3.3841149806976318,3.0241427421569824,87.563957214355469,,,,N,Y,N,N,N
36,C12,FALSE,CRII2020_RRT_Ap165,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0040706396102905,-0.0047676884569227695,75.034889221191406,,,,Y,Y,N,N,Y
37,D1,FALSE,CRII2020_RRT_Ap166,Acer,UNKNOWN,SYBR,None,19.658714294433594,19.890033721923828,0.32713371515274048,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.60171224776524235,2.5691170692443848,2.2187035083770752,75.329689025878906,,,,N,Y,N,N,N
38,D2,FALSE,CRII2020_RRT_Ap166,A,UNKNOWN,SYBR,None,22.619714736938477,22.775960922241211,0.22096547484397888,,,,,,,,FALSE,0.01,TRUE,3,22,Amp,,0.49050864118972765,3.4626727104187012,3.014925479888916,87.563957214355469,,,,N,Y,N,N,N
39,D3,FALSE,CRII2020_RRT_Ap166,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.9854084849357605,-0.0026177705731242895,76.656295776367188,,,,Y,Y,N,N,Y
40,D4,FALSE,CRII2020_RRT_Ap166,Acer,UNKNOWN,SYBR,None,20.12135124206543,19.890033721923828,0.32713371515274048,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.78039880531913342,2.1664924621582031,1.8559763431549072,75.477088928222656,,,,N,Y,N,N,N
41,D5,FALSE,CRII2020_RRT_Ap166,A,UNKNOWN,SYBR,None,22.932207107543945,22.775960922241211,0.22096547484397888,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.49380799043143919,3.2416493892669678,2.8900344371795654,87.563957214355469,,,,N,Y,N,N,N
42,D6,FALSE,CRII2020_RRT_Ap166,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.97029018402099609,-0.0013329047942534089,75.919296264648438,,,,Y,Y,N,N,Y
43,D7,FALSE,CRII2020_RRT_Ap167,Acer,UNKNOWN,SYBR,None,18.259084701538086,18.257570266723633,0.0021417343523353338,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.69017328749786988,2.2455258369445801,1.9297853708267212,75.477088928222656,,,,N,Y,N,N,N
44,D8,FALSE,CRII2020_RRT_Ap167,A,UNKNOWN,SYBR,None,20.583213806152344,20.624931335449219,0.058996148407459259,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.5121404735373486,3.2978799343109131,2.9043304920196533,87.563957214355469,,,,N,Y,N,N,N
45,D9,FALSE,CRII2020_RRT_Ap167,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.89371967315673828,-0.0014755736337974668,76.656295776367188,,,,Y,Y,N,N,Y
46,D10,FALSE,CRII2020_RRT_Ap167,Acer,UNKNOWN,SYBR,None,18.25605583190918,18.257570266723633,0.0021417343523353338,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.64774727780829522,2.188539981842041,1.8399995565414429,75.477088928222656,,,,N,Y,N,N,N
47,D11,FALSE,CRII2020_RRT_Ap167,A,UNKNOWN,SYBR,None,20.666646957397461,20.624931335449219,0.058996148407459259,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.36435827115172653,3.4037399291992188,3.0757570266723633,87.563957214355469,,,,N,Y,N,N,N
48,D12,FALSE,CRII2020_RRT_Ap167,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.9710431694984436,0.00015962393081281334,74.740081787109375,,,,Y,Y,N,N,Y
49,E1,FALSE,CRII2020_RRT_Ap168,Acer,UNKNOWN,SYBR,None,18.847784042358398,18.727783203125,0.16970816254615784,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.63680222845973955,2.6533374786376953,2.3097736835479736,75.329689025878906,,,,N,Y,N,N,N
50,E2,FALSE,CRII2020_RRT_Ap168,A,UNKNOWN,SYBR,None,20.252464294433594,20.511478424072266,0.36629995703697205,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.28601397454053146,3.57893967628479,3.2119529247283936,87.416557312011719,,,,N,Y,N,N,N
51,E3,FALSE,CRII2020_RRT_Ap168,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.9402390718460083,0.00034811609657481313,77.688102722167969,,,,Y,Y,N,N,Y
52,E4,FALSE,CRII2020_RRT_Ap168,Acer,UNKNOWN,SYBR,None,18.607780456542969,18.727783203125,0.16970816254615784,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.60983300393023099,2.3622839450836182,2.0525436401367188,75.477088928222656,,,,N,Y,N,N,N
53,E5,FALSE,CRII2020_RRT_Ap168,A,UNKNOWN,SYBR,None,20.770490646362305,20.511478424072266,0.36629995703697205,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.450447774696143,3.3459391593933105,2.987032413482666,87.563957214355469,,,,N,Y,N,N,N
54,E6,FALSE,CRII2020_RRT_Ap168,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.94954544305801392,-0.0062865368090569973,75.771888732910156,,,,Y,Y,N,N,Y
55,E7,FALSE,CRII2020_RRT_Ap170A,Acer,UNKNOWN,SYBR,None,17.547624588012695,17.800683975219727,0.35788002610206604,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.70479383250237582,2.2177176475524902,1.8437694311141968,75.477088928222656,,,,N,Y,N,N,N
56,E8,FALSE,CRII2020_RRT_Ap170A,A,UNKNOWN,SYBR,None,20.177225112915039,20.305290222167969,0.1811114102602005,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.46523596947564355,3.5871729850769043,3.1416316032409668,87.563957214355469,,,,N,Y,N,N,N
57,E9,FALSE,CRII2020_RRT_Ap170A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.93910801410675049,-0.0063630486838519573,77.393302917480469,,,,Y,Y,N,N,Y
58,E10,FALSE,CRII2020_RRT_Ap170A,Acer,UNKNOWN,SYBR,None,18.053743362426758,17.800683975219727,0.35788002610206604,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.70842939937420335,2.1700868606567383,1.7957978248596191,75.477088928222656,,,,N,Y,N,N,N
59,E11,FALSE,CRII2020_RRT_Ap170A,A,UNKNOWN,SYBR,None,20.433355331420898,20.305290222167969,0.1811114102602005,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.41180143482219445,3.3258378505706787,2.9103748798370361,87.563957214355469,,,,N,Y,N,N,N
60,E12,FALSE,CRII2020_RRT_Ap170A,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,29,No Amp,,0,3.2496089935302734,-0.009637393057346344,60,,,,N,Y,N,N,N
61,F1,FALSE,CRII2020_RRT_Ap170B,Acer,UNKNOWN,SYBR,None,17.601690292358398,17.62603759765625,0.03443363681435585,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.59488754821269973,2.6720883846282959,2.2933058738708496,75.329689025878906,,,,N,Y,N,N,N
62,F2,FALSE,CRII2020_RRT_Ap170B,A,UNKNOWN,SYBR,None,20.756782531738281,20.210830688476562,0.77209383249282837,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.74155926532042382,2.8604369163513184,2.098731517791748,87.269157409667969,,,,N,Y,Y,N,N
63,F3,FALSE,CRII2020_RRT_Ap170B,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.96190470457077026,0.00094661785988137126,75.034889221191406,,,,Y,Y,N,N,Y
64,F4,FALSE,CRII2020_RRT_Ap170B,Acer,UNKNOWN,SYBR,None,17.650386810302734,17.62603759765625,0.03443363681435585,,,,,,,,FALSE,0.01,TRUE,3,16,Amp,,0.63999347800972517,2.4065597057342529,2.0168530941009521,75.477088928222656,,,,N,Y,N,N,N
65,F5,FALSE,CRII2020_RRT_Ap170B,A,UNKNOWN,SYBR,None,19.664876937866211,20.210830688476562,0.77209383249282837,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.45497581839648737,3.356071949005127,2.9478886127471924,87.563957214355469,,,,N,Y,Y,N,N
66,F6,FALSE,CRII2020_RRT_Ap170B,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.93287312984466553,-0.0045206518843770027,76.066696166992188,,,,Y,Y,N,N,Y
67,F7,FALSE,CRII2020_RRT_Ap171,Acer,UNKNOWN,SYBR,None,18.790683746337891,18.787147521972656,0.0050009763799607754,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.68901235238250658,2.1839642524719238,1.8798123598098755,75.477088928222656,,,,N,Y,N,N,N
68,F8,FALSE,CRII2020_RRT_Ap171,A,UNKNOWN,SYBR,None,20.395803451538086,21.177343368530273,1.1052643060684204,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.35747788157674737,3.2691106796264648,2.9290213584899902,87.563957214355469,,,,N,Y,Y,N,N
69,F9,FALSE,CRII2020_RRT_Ap171,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.95729267597198486,-0.0014348065014928579,76.803695678710938,,,,Y,Y,N,N,Y
70,F10,FALSE,CRII2020_RRT_Ap171,Acer,UNKNOWN,SYBR,None,18.783611297607422,18.787147521972656,0.0050009763799607754,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.57889728741699875,2.4010145664215088,2.0885741710662842,75.477088928222656,,,,N,Y,N,N,N
71,F11,FALSE,CRII2020_RRT_Ap171,A,UNKNOWN,SYBR,None,21.958883285522461,21.177343368530273,1.1052643060684204,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.54941808700848005,3.3289947509765625,2.9274065494537354,87.563957214355469,,,,N,Y,Y,N,N
72,F12,FALSE,CRII2020_RRT_Ap171,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.95363336801528931,-0.0030480115674436092,74.592681884765625,,,,Y,Y,N,N,Y
73,G1,FALSE,CRII2020_RRT_Ap172,Acer,UNKNOWN,SYBR,None,19.400245666503906,19.686412811279297,0.4047028124332428,,,,,,,,FALSE,0.01,TRUE,3,18,Amp,,0.52845661468413174,2.6105608940124512,2.2939732074737549,75.182289123535156,,,,N,Y,N,N,N
74,G2,FALSE,CRII2020_RRT_Ap172,A,UNKNOWN,SYBR,None,20.870222091674805,21.117080688476562,0.3491121232509613,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.35616652534942123,3.6039590835571289,3.2354021072387695,87.416557312011719,,,,N,Y,N,N,N
75,G3,FALSE,CRII2020_RRT_Ap172,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,1.0314154624938965,-0.0037482066545635462,75.182289123535156,,,,Y,Y,N,N,Y
76,G4,FALSE,CRII2020_RRT_Ap172,Acer,UNKNOWN,SYBR,None,19.97258186340332,19.686412811279297,0.4047028124332428,,,,,,,,FALSE,0.01,TRUE,3,19,Amp,,0.77212532440615989,2.2144629955291748,1.9038169384002686,75.477088928222656,,,,N,Y,N,N,N
77,G5,FALSE,CRII2020_RRT_Ap172,A,UNKNOWN,SYBR,None,21.363941192626953,21.117080688476562,0.3491121232509613,,,,,,,,FALSE,0.01,TRUE,3,20,Amp,,0.35269090401139436,3.4620316028594971,3.1446926593780518,87.563957214355469,,,,N,Y,N,N,N
78,G6,FALSE,CRII2020_RRT_Ap172,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.92275184392929077,-0.00017777111497707665,78.8673095703125,,,,Y,Y,N,N,Y
79,G7,FALSE,CRII2020_RRT_Ap173,Acer,UNKNOWN,SYBR,None,18.743074417114258,18.910934448242188,0.23738993704319,,,,,,,,FALSE,0.01,TRUE,3,17,Amp,,0.58863602587703434,2.3074500560760498,2.0116679668426514,75.329689025878906,,,,N,Y,N,N,N
80,G8,FALSE,CRII2020_RRT_Ap173,A,UNKNOWN,SYBR,None,22.059635162353516,22.717502593994141,0.93036502599716187,,,,,,,,FALSE,0.01,TRUE,3,21,Amp,,0.37281871319777993,3.3163721561431885,3.0092275142669678,87.563957214355469,,,,N,Y,Y,N,N
81,G9,FALSE,CRII2020_RRT_Ap173,D,UNKNOWN,FAM,NFQ-MGB,Undetermined,,,,,,,,,,FALSE,0.01,TRUE,3,39,No Amp,,0,0.93222039937973022,-0.0034449356608092785,77.098495483398438,,,,Y,Y,N,N,Y
